"code","period","bp","source"
"cur","Current (1979 – 2013)",,"CHELSA"
"lh","Late Holocene: Meghalayan","4.2-0.3 ka","Fordham  et al. 2017"
"mh","Mid Holocene: Northgrippian","8.326-4.2 ka","Fordham  et al. 2017"
"eh","Early Holocene: Greenlandian","11.7-8.326 ka","Fordham  et al. 2017"
"yds","Pleistocene: Younger Dryas Stadial","12.9-11.7 ka","Fordham  et al. 2017"
"ba","Pleistocene: Bølling-Allerød","14.7-12.9 ka","Fordham  et al. 2017"
"hs1","Pleistocene: Heinrich Stadial 1","17.0-14.7 ka","Fordham  et al. 2017"
"lgm","Pleistocene: Last Glacial Maximum","ca. 21 ka","CHELSA"
"lig","Pleistocene: Last Interglacial","ca. 130 ka","Otto-Bliesner et al. 2006"
"mis19","Pleistocene: MIS19","ca. 787 ka","Brown et al. 2018"
"mpwp","Pliocene: Mid-Pliocene warm period","3.205 Ma","Hill 2015"
"m2","Pliocene: M2","ca. 3.3 Ma","Dolan et al. 2015"
